level_0,index,Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,BRAIN_N01_neg m/z,BRAIN_N01_neg RT mean,BRAIN_N01_neg Normalized Area,BRAIN_N50_neg m/z,BRAIN_N50_neg RT mean,BRAIN_N50_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM,Ratio_N50/N01,[M-H]-,[M+HCOO]-
14,14,,0.67,10.61,850.5911,12.12 - 12.96,1,61000.0,-,-,0.0,850.5911,12.51,122000.0,00:01.0,0.0,122000.0,00:01.0,12.51,,,#DIV/0!,['Phosphatidylserine (O-42:5)'],"['Phosphatidylcholine (O-39:6)' 'Phosphatidylethanolamine (O-42:6)'
 'Phosphatidylserine (37:0)']"
15,15,,0.68,10.39,824.5758,12.03 - 12.80,1,61000.0,-,-,0.0,824.5758,12.45,122000.0,00:01.0,0.0,122000.0,00:01.0,12.45,,,#DIV/0!,['Phosphatidylserine (O-40:4)'],['Phosphatidylcholine (O-37:5)' 'Phosphatidylethanolamine (O-40:5)']
16,16,,0.63,9.11,801.5702,9.01 - 9.89,1,61000.0,-,-,0.0,801.5702,9.68,122000.0,00:01.0,0.0,122000.0,00:01.0,9.68,,,#DIV/0!,['Phosphatidylglycerol (38:2)' 'Bismonoacylglycerolphosphate (38:2)'],"['Phosphatidate (40:2)' 'Sphingomyelin (t37:3)'
 'Ceramide phosphoethanolamine (t40:3)' 'Monohexosyldiacylglycerol (34:1)']"
17,17,,0.61,8.3,856.6481,9.84 - 11.27,1,60000.0,-,-,0.0,856.6481,10.8,120000.0,00:01.0,0.0,120000.0,00:01.0,10.8,,,#DIV/0!,['Phosphatidylserine (O-42:2)'],['Phosphatidylcholine (O-39:3)' 'Phosphatidylethanolamine (O-42:3)']
18,18,,0.65,10.33,882.619,9.39 - 10.28,1,60000.0,-,-,0.0,882.619,9.93,121000.0,00:01.0,0.0,121000.0,00:01.0,9.93,,,#DIV/0!,['Phosphatidylserine (43:3)'],['Phosphatidylcholine (40:4)' 'Phosphatidylethanolamine (43:4)']
19,19,,0.64,9.6,925.6595,10.86 - 11.98,1,57000.0,-,-,0.0,925.6595,11.32,113000.0,00:01.0,0.0,113000.0,00:01.0,11.32,,,#DIV/0!,[],[]
20,20,,0.63,9.45,784.4987,8.34 - 10.28,1,56000.0,-,-,0.0,784.4987,9.89,111000.0,00:01.0,0.0,111000.0,00:01.0,9.89,,,#DIV/0!,['Phosphatidylethanolamine (40:9)'],[]
21,21,,0.64,9.69,824.6553,10.92 - 11.91,1,53000.0,-,-,0.0,824.6553,11.51,106000.0,00:01.0,0.0,106000.0,00:01.0,11.51,,,#DIV/0!,['Phosphatidylcholine (O-40:3)'],[]
22,22,,0.6,8.44,878.6519,10.54 - 12.03,1,53000.0,-,-,0.0,878.6519,11.51,106000.0,00:01.0,0.0,106000.0,00:01.0,11.51,,,#DIV/0!,[],['Phosphatidylserine (O-40:0)']
23,23,,0.62,8.67,887.6535,10.97 - 11.89,1,52000.0,-,-,0.0,887.6535,11.51,105000.0,00:01.0,0.0,105000.0,00:01.0,11.51,,,#DIV/0!,['Phosphatidate (50:6)'],[]
24,24,,0.61,8.32,847.6403,11.21 - 12.02,1,51000.0,-,-,0.0,847.6403,11.89,101000.0,00:01.0,0.0,101000.0,00:01.0,11.89,,,#DIV/0!,"['Phosphatidylglycerol (41:0)' 'Sphingomyelin (t44:6)'
 'Bismonoacylglycerolphosphate (41:0)']",['Phosphatidate (43:0)']
25,25,,0.57,9.97,896.6786,11.24 - 12.32,1,51000.0,-,-,0.0,896.6786,11.77,101000.0,00:01.0,0.0,101000.0,00:01.0,11.77,,,#DIV/0!,[],['Phosphatidylcholine (O-42:4)' 'Phosphatidylethanolamine (O-45:4)']
26,26,,0.63,9.6,712.5253,8.47 - 9.51,1,51000.0,-,-,0.0,712.5253,9.22,102000.0,00:01.0,0.0,102000.0,00:01.0,9.22,,,#DIV/0!,['Phosphatidylcholine (O-32:3)' 'Phosphatidylethanolamine (O-35:3)'],[]
27,27,,0.63,9.43,773.578,6.40 - 7.55,1,51000.0,-,-,0.0,773.578,7.29,103000.0,00:01.0,0.0,103000.0,00:01.0,7.29,,,#DIV/0!,[],['Phosphatidate (O-39:2)' 'Sphingomyelin (d36:2)']
28,28,,0.62,8.8,890.6368,5.90 - 10.24,1,50000.0,-,-,0.0,890.6368,7.69,99700.0,00:01.0,0.0,99700.0,00:01.0,7.69,,,#DIV/0!,['Phosphatidylserine (O-45:6)' 'Sulfohexosyl ceramide (d42:1)'],"['Phosphatidylcholine (O-42:7)' 'Phosphatidylethanolamine (O-45:7)'
 'Hexosyl ceramide (t44:6)']"
29,29,,0.63,9.27,816.6089,10.32 - 11.02,1,49000.0,-,-,0.0,816.6089,10.56,98200.0,00:01.0,0.0,98200.0,00:01.0,10.56,,,#DIV/0!,['Phosphatidylserine (O-39:1)' 'Hexosyl ceramide (t42:6)'],['Phosphatidylcholine (O-36:2)' 'Phosphatidylethanolamine (O-39:2)']
30,30,,0.62,9.1,924.672,12.06 - 13.07,1,47000.0,-,-,0.0,924.672,12.44,94400.0,00:01.0,0.0,94400.0,00:01.0,12.44,,,#DIV/0!,['Phosphatidylserine (46:3)'],['Phosphatidylcholine (43:4)' 'Phosphatidylethanolamine (46:4)']
31,31,,0.61,8.39,840.6085,8.43 - 9.56,1,47000.0,-,-,0.0,840.6085,9.13,93800.0,00:01.0,0.0,93800.0,00:01.0,9.13,,,#DIV/0!,[],"['Lysophosphatidylcholine (38:4)' 'Phosphatidylcholine (O-38:4)'
 'Phosphatidylethanolamine (O-41:4)']"
32,32,,0.61,8.41,762.5618,7.36 - 9.13,1,47000.0,-,-,0.0,762.5618,8.13,94900.0,00:01.0,0.0,94900.0,00:01.0,8.13,,,#DIV/0!,['Phosphatidylserine (O-35:0)' 'Hexosyl ceramide (t38:5)'],['Phosphatidylcholine (O-32:1)' 'Phosphatidylethanolamine (O-35:1)']
33,33,,0.59,8.61,840.6539,10.63 - 11.70,1,46000.0,-,-,0.0,840.6539,11.22,91200.0,00:01.0,0.0,91200.0,00:01.0,11.22,,,#DIV/0!,['Phosphatidylcholine (40:2)' 'Phosphatidylethanolamine (43:2)'],['Hexosyl ceramide (d41:2)']
34,34,,0.58,9.38,946.496,5.47 - 8.60,1,45000.0,-,-,0.0,946.496,6.53,89200.0,00:01.0,0.0,89200.0,00:01.0,6.53,,,#DIV/0!,[],[]
35,35,,0.68,10.39,870.6191,11.57 - 12.04,1,44000.0,-,-,0.0,870.6191,11.66,87800.0,00:01.0,0.0,87800.0,00:01.0,11.66,,,#DIV/0!,['Phosphatidylserine (42:2)'],['Phosphatidylcholine (39:3)' 'Phosphatidylethanolamine (42:3)']
36,36,,0.68,10.39,673.4767,8.13 - 8.72,1,44000.0,-,-,0.0,673.4767,8.34,87300.0,00:01.0,0.0,87300.0,00:01.0,8.34,,,#DIV/0!,['Phosphatidate (34:1)'],[]
37,37,,0.63,9.43,1058.6301,11.41 - 12.27,1,43000.0,-,-,0.0,1058.6301,11.84,86900.0,00:01.0,0.0,86900.0,00:01.0,11.84,,,#DIV/0!,[],[]
38,38,,0.63,9.62,822.5981,10.92 - 11.76,1,43000.0,-,-,0.0,822.5981,11.42,86200.0,00:01.0,0.0,86200.0,00:01.0,11.42,,,#DIV/0!,['Phosphatidylcholine (39:4)' 'Phosphatidylethanolamine (42:4)'],['Ceramide phosphate (d46:5)']
39,39,,0.6,8.44,816.6096,9.17 - 10.09,1,43000.0,-,-,0.0,816.6096,9.61,85000.0,00:01.0,0.0,85000.0,00:01.0,9.61,,,#DIV/0!,['Phosphatidylserine (O-39:1)'],['Phosphatidylcholine (O-36:2)' 'Phosphatidylethanolamine (O-39:2)']
40,40,,0.69,10.55,473.3976,7.46 - 7.98,1,43000.0,-,-,0.0,473.3976,7.65,86000.0,00:01.0,0.0,86000.0,00:01.0,7.65,,,#DIV/0!,[],[]
41,41,,0.66,10.24,909.546,6.80 - 7.72,1,43000.0,-,-,0.0,909.546,7.54,86600.0,00:01.0,0.0,86600.0,00:01.0,7.54,,,#DIV/0!,['Phosphatidylinositol (40:6)'],[]
42,42,,0.62,8.54,764.5561,9.72 - 10.87,1,41000.0,-,-,0.0,764.5561,10.32,81500.0,00:01.0,0.0,81500.0,00:01.0,10.32,,,#DIV/0!,"['Lysophosphatidylcholine (36:5)' 'Phosphatidylcholine (O-36:5)'
 'Phosphatidylethanolamine (O-39:5)']",[]
43,43,,0.64,9.61,692.6181,12.85 - 13.62,1,40000.0,-,-,0.0,692.6181,13.27,80800.0,00:01.0,0.0,80800.0,00:01.0,13.27,,,#DIV/0!,[],['Ceramide (d42:2)']
44,44,,0.54,8.68,888.667,12.22 - 13.19,1,40000.0,-,-,0.0,888.667,12.8,79100.0,00:01.0,0.0,79100.0,00:01.0,12.8,,,#DIV/0!,['Phosphatidylserine (43:0)'],"['Phosphatidylcholine (40:1)' 'Phosphatidylethanolamine (43:1)'
 'Hexosyl ceramide (d45:6)']"
45,45,,0.57,10.31,880.6765,12.03 - 13.02,1,40000.0,-,-,0.0,880.6765,12.45,79300.0,00:01.0,0.0,79300.0,00:01.0,12.45,,,#DIV/0!,['Phosphatidylcholine (43:3)' 'Phosphatidylethanolamine (46:3)'],[]
46,46,,0.6,8.24,796.5825,10.90 - 11.61,1,39000.0,-,-,0.0,796.5825,11.3,78500.0,00:01.0,0.0,78500.0,00:01.0,11.3,,,#DIV/0!,['Phosphatidylcholine (37:3)' 'Phosphatidylethanolamine (40:3)'],[]
47,47,,0.61,8.39,740.5566,10.05 - 10.92,1,39000.0,-,-,0.0,740.5566,10.57,77600.0,00:01.0,0.0,77600.0,00:01.0,10.57,,,#DIV/0!,['Phosphatidylcholine (O-34:3)' 'Phosphatidylethanolamine (O-37:3)'],[]
48,48,,0.59,8.35,892.5624,12.04 - 12.82,1,38000.0,-,-,0.0,892.5624,12.45,75200.0,00:01.0,0.0,75200.0,00:01.0,12.45,,,#DIV/0!,[],['Phosphatidylserine (O-42:7)']
49,49,,0.62,8.96,768.5881,11.35 - 12.31,1,38000.0,-,-,0.0,768.5881,11.86,75900.0,00:01.0,0.0,75900.0,00:01.0,11.86,,,#DIV/0!,['Phosphatidylcholine (O-36:3)' 'Phosphatidylethanolamine (O-39:3)'],[]
50,50,,0.6,8.5,736.525,8.60 - 9.56,1,38000.0,-,-,0.0,736.525,9.34,75500.0,00:01.0,0.0,75500.0,00:01.0,9.34,,,#DIV/0!,"['Lysophosphatidylcholine (34:5)' 'Phosphatidylcholine (O-34:5)'
 'Phosphatidylethanolamine (O-37:5)']",[]
51,51,,0.59,8.62,918.5789,12.12 - 12.92,1,37000.0,-,-,0.0,918.5789,12.51,73400.0,00:01.0,0.0,73400.0,00:01.0,12.51,,,#DIV/0!,[],['Phosphatidylserine (O-44:8)']
52,52,,0.58,9.22,880.6011,8.89 - 9.72,1,37000.0,-,-,0.0,880.6011,9.28,74200.0,00:01.0,0.0,74200.0,00:01.0,9.28,,,#DIV/0!,['Phosphatidylserine (43:4)'],"['Phosphatidylcholine (40:5)' 'Phosphatidylethanolamine (43:5)'
 'Dihexosyl ceramide (d32:0)']"
53,53,,0.61,8.45,761.5749,9.89 - 10.66,1,36000.0,-,-,0.0,761.5749,10.47,71200.0,00:01.0,0.0,71200.0,00:01.0,10.47,,,#DIV/0!,[],"['Phosphatidate (O-38:1)' 'Sphingomyelin (d35:1)'
 'Ceramide phosphoethanolamine (d38:1)']"
54,54,,0.56,10.02,886.5153,8.76 - 10.44,1,36000.0,-,-,0.0,886.5153,9.58,72700.0,00:01.0,0.0,72700.0,00:01.0,9.58,,,#DIV/0!,[],[]
55,55,,0.55,9.26,820.5833,9.68 - 11.00,1,35000.0,-,-,0.0,820.5833,10.17,70400.0,00:01.0,0.0,70400.0,00:01.0,10.17,,,#DIV/0!,"['Phosphatidylcholine (39:5)' 'Phosphatidylethanolamine (42:5)'
 'Dihexosyl ceramide (d31:0)']",['Ceramide phosphate (d46:6)']
56,56,,0.54,8.59,862.6517,12.27 - 13.18,1,34000.0,-,-,0.0,862.6517,12.91,67400.0,00:01.0,0.0,67400.0,00:01.0,12.91,,,#DIV/0!,[],['Phosphatidylcholine (38:0)' 'Phosphatidylethanolamine (41:0)']
57,57,,0.56,9.82,808.6198,12.37 - 13.38,1,34000.0,-,-,0.0,808.6198,12.8,67500.0,00:01.0,0.0,67500.0,00:01.0,12.8,,,#DIV/0!,['Phosphatidylcholine (O-39:4)' 'Phosphatidylethanolamine (O-42:4)'],[]
58,58,,0.61,8.39,834.6613,11.37 - 12.09,1,34000.0,-,-,0.0,834.6613,11.91,67600.0,00:01.0,0.0,67600.0,00:01.0,11.91,,,#DIV/0!,[],['Phosphatidylcholine (O-37:0)' 'Phosphatidylethanolamine (O-40:0)']
59,59,,0.6,8.23,836.5293,10.28 - 11.24,1,34000.0,-,-,0.0,836.5293,11.08,67000.0,00:01.0,0.0,67000.0,00:01.0,11.08,,,#DIV/0!,['Phosphatidylethanolamine (44:11)'],[]
60,60,,0.59,8.7,844.5436,10.21 - 10.86,1,34000.0,-,-,0.0,844.5436,10.63,68200.0,00:01.0,0.0,68200.0,00:01.0,10.63,,,#DIV/0!,['Phosphatidylserine (O-42:8)'],['Phosphatidylethanolamine (O-42:9)' 'Phosphatidylserine (37:3)']
61,61,,0.58,9.45,820.5435,9.60 - 11.06,1,34000.0,-,-,0.0,820.5435,10.28,67200.0,00:01.0,0.0,67200.0,00:01.0,10.28,,,#DIV/0!,['Phosphatidylserine (O-40:6)'],"['Phosphatidylcholine (O-37:7)' 'Phosphatidylethanolamine (O-40:7)'
 'Phosphatidylserine (35:1)']"
62,62,,0.6,8.24,608.5226,8.26 - 9.47,1,34000.0,-,-,0.0,608.5226,9.22,68200.0,00:01.0,0.0,68200.0,00:01.0,9.22,,,#DIV/0!,[],['Ceramide (d36:2)']
63,63,,0.58,9.21,844.5288,6.43 - 7.61,1,34000.0,-,-,0.0,844.5288,7.25,68200.0,00:01.0,0.0,68200.0,00:01.0,7.25,,,#DIV/0!,[],['Phosphatidylserine (37:3)']
64,64,,0.61,8.45,742.5729,11.27 - 12.12,1,33000.0,-,-,0.0,742.5729,11.76,65400.0,00:01.0,0.0,65400.0,00:01.0,11.76,,,#DIV/0!,['Phosphatidylcholine (O-34:2)' 'Phosphatidylethanolamine (O-37:2)'],[]
65,65,,0.52,10.23,863.6356,10.92 - 11.81,1,33000.0,-,-,0.0,863.6356,11.45,67000.0,00:01.0,0.0,67000.0,00:01.0,11.45,,,#DIV/0!,[],"['Triacylglycerol (50:8)' 'Sphingomyelin (d43:6)'
 'Ceramide phosphoethanolamine (d46:6)']"
66,66,,0.57,10.17,876.572,6.48 - 7.58,1,33000.0,-,-,0.0,876.572,7.42,65900.0,00:01.0,0.0,65900.0,00:01.0,7.42,,,#DIV/0!,['Phosphatidylserine (43:6)'],['Phosphatidylcholine (40:7)' 'Dihexosyl ceramide (d32:2)']
67,67,,0.6,8.37,940.6673,12.48 - 13.34,1,31000.0,-,-,0.0,940.6673,12.9,61400.0,00:01.0,0.0,61400.0,00:01.0,12.9,,,#DIV/0!,['Dihexosyl ceramide (d40:3)'],['Phosphatidylserine (O-45:4)']
68,68,,0.57,9.7,787.5904,10.05 - 10.89,1,31000.0,-,-,0.0,787.5904,10.61,61800.0,00:01.0,0.0,61800.0,00:01.0,10.61,,,#DIV/0!,[],"['Phosphatidate (O-40:2)' 'Sphingomyelin (d37:2)'
 'Ceramide phosphoethanolamine (d40:2)']"
69,69,,0.54,8.59,980.6149,11.32 - 12.15,1,30000.0,-,-,0.0,980.6149,11.89,60300.0,00:01.0,0.0,60300.0,00:01.0,11.89,,,#DIV/0!,['Ganglioside Gb3 (d31:1)'],['Sulfohexosyl ceramide (d46:7)']
70,70,,0.58,8.71,844.6031,11.57 - 11.81,1,30000.0,-,-,0.0,844.6031,11.68,60300.0,00:01.0,0.0,60300.0,00:01.0,11.68,,,#DIV/0!,['Phosphatidylserine (40:1)'],"['Phosphatidylcholine (37:2)' 'Phosphatidylethanolamine (40:2)'
 'Hexosyl ceramide (d42:7)']"
71,71,,0.6,8.37,1074.6268,10.95 - 11.88,1,30000.0,-,-,0.0,1074.6268,11.51,59800.0,00:01.0,0.0,59800.0,00:01.0,11.51,,,#DIV/0!,[],[]
72,72,,0.54,8.6,828.6531,10.47 - 11.75,1,29000.0,-,-,0.0,828.6531,11.08,57900.0,00:01.0,0.0,57900.0,00:01.0,11.08,,,#DIV/0!,['Phosphatidylcholine (39:1)' 'Phosphatidylethanolamine (42:1)'],['Hexosyl ceramide (d40:1)']
73,73,,0.6,8.35,812.5412,8.72 - 9.01,1,28000.0,-,-,0.0,812.5412,8.85,56000.0,00:01.0,0.0,56000.0,00:01.0,8.85,,,#DIV/0!,['Phosphatidylserine (38:3)'],['Phosphatidylcholine (35:4)' 'Phosphatidylethanolamine (38:4)']
74,74,,0.57,10.13,926.5084,8.30 - 8.80,1,27000.0,-,-,0.0,926.5084,8.47,53100.0,00:01.0,0.0,53100.0,00:01.0,8.47,,,#DIV/0!,[],[]
75,75,,0.61,8.53,444.1041,2.93 - 4.54,1,27000.0,-,-,0.0,444.1041,3.36,53000.0,00:01.0,0.0,53000.0,00:01.0,3.36,,,#DIV/0!,[],[]
76,76,,0.57,10.27,993.6455,10.89 - 12.06,1,26000.0,-,-,0.0,993.6455,11.27,51500.0,00:01.0,0.0,51500.0,00:01.0,11.27,,,#DIV/0!,['Phosphatidylinositol (46:6)'],[]
77,77,,0.45,8.36,812.5283,10.76 - 11.45,1,26000.0,-,-,0.0,812.5283,11.08,51300.0,00:01.0,0.0,51300.0,00:01.0,11.08,,,#DIV/0!,['Phosphatidylethanolamine (42:9)'],[]
78,78,,0.49,9.99,898.5758,8.13 - 9.34,1,26000.0,-,-,0.0,898.5758,8.8,52600.0,00:01.0,0.0,52600.0,00:01.0,8.8,,,#DIV/0!,[],['Phosphatidylserine (41:4)']
79,79,,0.58,9.2,861.5461,6.81 - 7.98,1,26000.0,-,-,0.0,861.5461,7.56,51300.0,00:01.0,0.0,51300.0,00:01.0,7.56,,,#DIV/0!,['Phosphatidylinositol (36:2)'],[]
80,80,,0.54,8.72,834.6198,10.95 - 11.70,1,25000.0,-,-,0.0,834.6198,11.31,49400.0,00:01.0,0.0,49400.0,00:01.0,11.31,,,#DIV/0!,[],"['Phosphatidylcholine (36:0)' 'Phosphatidylethanolamine (39:0)'
 'Hexosyl ceramide (d41:5)']"
81,81,,0.56,9.83,958.5321,10.72 - 11.66,1,25000.0,-,-,0.0,958.5321,11.22,50300.0,00:01.0,0.0,50300.0,00:01.0,11.22,,,#DIV/0!,[],['Sulfodihexosyl ceramide (d32:1)']
82,82,,0.55,9.79,1000.5043,10.59 - 11.57,1,25000.0,-,-,0.0,1000.5043,11.08,50000.0,00:01.0,0.0,50000.0,00:01.0,11.08,,,#DIV/0!,[],[]
83,83,,0.54,9.15,818.6244,10.52 - 11.19,1,25000.0,-,-,0.0,818.6244,10.83,50600.0,00:01.0,0.0,50600.0,00:01.0,10.83,,,#DIV/0!,['Phosphatidylserine (O-39:0)' 'Hexosyl ceramide (t42:5)'],['Phosphatidylcholine (O-36:1)' 'Phosphatidylethanolamine (O-39:1)']
84,84,,0.56,10.22,842.6694,12.16 - 12.84,1,24000.0,-,-,0.0,842.6694,12.63,47500.0,00:01.0,0.0,47500.0,00:01.0,12.63,,,#DIV/0!,['Phosphatidylcholine (40:1)' 'Phosphatidylethanolamine (43:1)'],['Hexosyl ceramide (d41:1)']
85,85,,0.56,10.01,831.6562,9.81 - 10.87,1,24000.0,-,-,0.0,831.6562,10.5,48700.0,00:01.0,0.0,48700.0,00:01.0,10.5,,,#DIV/0!,['Triacylglycerol (51:8)'],['Phosphatidate (O-43:1)' 'Sphingomyelin (d40:1)']
86,86,,0.57,10.26,894.5435,6.64 - 7.65,1,24000.0,-,-,0.0,894.5435,7.55,47300.0,00:01.0,0.0,47300.0,00:01.0,7.55,,,#DIV/0!,[],['Phosphatidylserine (41:6)']
87,87,,0.57,9.99,446.1014,2.95 - 4.19,1,24000.0,-,-,0.0,446.1014,3.39,48700.0,00:01.0,0.0,48700.0,00:01.0,3.39,,,#DIV/0!,[],[]
88,88,,0.56,10.01,702.5414,10.64 - 11.17,1,23000.0,-,-,0.0,702.5414,10.97,46300.0,00:01.0,0.0,46300.0,00:01.0,10.97,,,#DIV/0!,['Phosphatidylcholine (O-31:1)' 'Phosphatidylethanolamine (O-34:1)'],[]
89,89,,0.59,8.7,600.5104,9.68 - 10.59,1,23000.0,-,-,0.0,600.5104,10.41,46800.0,00:01.0,0.0,46800.0,00:01.0,10.41,,,#DIV/0!,[],[]
90,90,,0.57,10.46,838.5529,10.05 - 10.78,1,23000.0,-,-,0.0,838.5529,10.21,46200.0,00:01.0,0.0,46200.0,00:01.0,10.21,,,#DIV/0!,['Phosphatidylserine (40:4)'],['Phosphatidylcholine (37:5)' 'Phosphatidylethanolamine (40:5)']
91,91,,0.53,9.41,1564.1451,8.06 - 8.72,1,23000.0,-,-,0.0,1564.1451,8.55,45200.0,00:01.0,0.0,45200.0,00:01.0,8.55,,,#DIV/0!,[],[]
92,92,,0.53,9.12,900.4943,7.29 - 8.10,1,23000.0,-,-,0.0,900.4943,7.95,46000.0,00:01.0,0.0,46000.0,00:01.0,7.95,,,#DIV/0!,[],['Phosphatidylserine (42:10)']
93,93,,0.38,6.15,869.5517,6.74 - 7.76,1,23000.0,-,-,0.0,869.5517,7.24,46300.0,00:01.0,0.0,46300.0,00:01.0,7.24,,,#DIV/0!,['Lysophosphatidylinositol (38:5)' 'Phosphatidylinositol (O-38:5)'],['Phosphatidylglycerol (40:5)' 'Bismonoacylglycerolphosphate (40:5)']
94,94,,0.56,9.8,808.5094,6.45 - 7.12,1,23000.0,-,-,0.0,808.5094,6.76,46500.0,00:01.0,0.0,46500.0,00:01.0,6.76,,,#DIV/0!,['Phosphatidylserine (38:5)'],['Phosphatidylcholine (35:6)' 'Phosphatidylethanolamine (38:6)']
95,95,,0.51,11.49,868.4825,5.48 - 7.61,1,23000.0,-,-,0.0,868.4825,6.49,45200.0,00:01.0,0.0,45200.0,00:01.0,6.49,,,#DIV/0!,[],[]
96,96,,0.59,8.79,547.3568,5.51 - 6.64,1,23000.0,-,-,0.0,547.3568,6.26,45400.0,00:01.0,0.0,45400.0,00:01.0,6.26,,,#DIV/0!,[],[]
97,97,,0.55,9.58,986.5646,12.15 - 12.88,1,22000.0,-,-,0.0,986.5646,12.45,43400.0,00:01.0,0.0,43400.0,00:01.0,12.45,,,#DIV/0!,[],['Sulfodihexosyl ceramide (d34:1)']
98,98,,0.59,8.48,916.6517,11.29 - 11.69,1,21000.0,-,-,0.0,916.6517,11.46,42300.0,00:01.0,0.0,42300.0,00:01.0,11.46,,,#DIV/0!,['Phosphatidylserine (O-47:7)' 'Sulfohexosyl ceramide (d44:2)'],['Phosphatidylcholine (O-44:8)']
99,99,,0.55,9.3,996.6086,10.97 - 11.97,1,21000.0,-,-,0.0,996.6086,11.46,42900.0,00:01.0,0.0,42900.0,00:01.0,11.46,,,#DIV/0!,[],[]
