level_0,index,Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LIVER_N50_neg m/z,LIVER_N50_neg RT mean,LIVER_N50_neg Normalized Area,LIVER_N01_neg m/z,LIVER_N01_neg RT mean,LIVER_N01_neg Normalized Area,Sample Profile (Ratio),protein Normalized Area,control Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM,Ratio N50/N01,[M-H]-,[M+HCOO]-
30,30,,0.9,5.74,786.5256,7.59 - 8.40,1,630000.0,786.5256,8.01,1250000.0,-,-,0.0,1.00:0,1250000.0,0.0,1.00:0,8.01,,,#DIV/0!,['Phosphatidylserine (36:2)'],['Phosphatidylcholine (33:3)' 'Phosphatidylethanolamine (36:3)']
31,31,,0.85,5.74,878.5883,7.04 - 9.06,1,570000.0,878.5883,8.69,1150000.0,-,-,0.0,1.00:0,1150000.0,0.0,1.00:0,8.69,,,#DIV/0!,['Phosphatidylserine (43:5)'],"['Phosphatidylcholine (40:6)' 'Phosphatidylethanolamine (43:6)'
 'Dihexosyl ceramide (d32:1)']"
32,32,,0.87,5.74,838.5573,6.56 - 9.23,1,550000.0,838.5573,8.9,1110000.0,-,-,0.0,1.00:0,1110000.0,0.0,1.00:0,8.9,,,#DIV/0!,['Phosphatidylserine (40:4)'],['Phosphatidylcholine (37:5)' 'Phosphatidylethanolamine (40:5)']
33,33,,0.82,5.93,812.5418,6.81 - 8.73,1,550000.0,812.5418,8.44,1100000.0,-,-,0.0,1.00:0,1100000.0,0.0,1.00:0,8.44,,,#DIV/0!,['Phosphatidylserine (38:3)'],['Phosphatidylcholine (35:4)' 'Phosphatidylethanolamine (38:4)']
34,34,,0.73,6.42,1026.2493,7.38 - 9.93,1,540000.0,1026.2493,9.65,1070000.0,-,-,0.0,1.00:0,1070000.0,0.0,1.00:0,9.65,,,#DIV/0!,[],[]
35,35,,0.71,6.58,473.3976,8.44 - 13.57,1,510000.0,473.3976,8.57,1020000.0,-,-,0.0,1.00:0,1020000.0,0.0,1.00:0,8.57,,,#DIV/0!,[],[]
36,36,,0.83,5.79,740.5208,7.89 - 8.98,1,500000.0,740.5208,8.44,1010000.0,-,-,0.0,1.00:0,1010000.0,0.0,1.00:0,8.44,,,#DIV/0!,['Phosphatidylcholine (33:3)' 'Phosphatidylethanolamine (36:3)'],['Ceramide phosphate (d40:4)']
37,37,,0.87,5.74,863.5538,4.46 - 9.35,1,480000.0,863.5538,7.89,966000.0,-,-,0.0,1.00:0,966000.0,0.0,1.00:0,7.89,,,#DIV/0!,[],[]
38,38,,0.81,6.09,776.5417,6.40 - 7.67,1,470000.0,776.5417,7.31,944000.0,-,-,0.0,1.00:0,944000.0,0.0,1.00:0,7.31,,,#DIV/0!,['Phosphatidylserine (35:0)'],"['Phosphatidylcholine (32:1)' 'Phosphatidylethanolamine (35:1)'
 'Hexosyl ceramide (d37:6)']"
39,39,,0.88,5.74,845.6727,11.57 - 12.52,1,470000.0,845.6727,12.11,931000.0,-,-,0.0,1.00:0,931000.0,0.0,1.00:0,12.11,,,#DIV/0!,['Triacylglycerol (52:8)'],"['Phosphatidate (O-44:1)' 'Sphingomyelin (d41:1)'
 'Ceramide phosphoethanolamine (d44:1)']"
40,40,,0.95,5.74,898.5759,8.14 - 9.81,1,440000.0,898.5759,9.06,879000.0,-,-,0.0,1.00:0,879000.0,0.0,1.00:0,9.06,,,#DIV/0!,[],['Phosphatidylserine (41:4)']
41,41,,0.86,5.74,887.5618,8.14 - 8.44,1,420000.0,887.5618,8.27,849000.0,-,-,0.0,1.00:0,849000.0,0.0,1.00:0,8.27,,,#DIV/0!,['Phosphatidylinositol (38:3)'],[]
42,42,,0.8,6.09,816.5729,7.33 - 8.90,1,410000.0,816.5729,8.35,823000.0,-,-,0.0,1.00:0,823000.0,0.0,1.00:0,8.35,,,#DIV/0!,['Phosphatidylserine (38:1)'],"['Phosphatidylcholine (35:2)' 'Phosphatidylethanolamine (38:2)'
 'Hexosyl ceramide (d40:7)']"
43,43,,0.85,5.74,700.5256,9.23 - 10.10,1,350000.0,700.5256,9.81,702000.0,-,-,0.0,1.00:0,702000.0,0.0,1.00:0,9.81,,,#DIV/0!,['Phosphatidylcholine (O-31:2)' 'Phosphatidylethanolamine (O-34:2)'],[]
44,44,,0.77,6.3,684.4946,6.76 - 8.35,1,350000.0,684.4946,7.76,701000.0,-,-,0.0,1.00:0,701000.0,0.0,1.00:0,7.76,,,#DIV/0!,['Phosphatidylcholine (O-30:3)' 'Phosphatidylethanolamine (O-33:3)'],[]
45,45,,0.78,6.24,794.558,8.85 - 10.18,1,340000.0,794.558,9.3,679000.0,-,-,0.0,1.00:0,679000.0,0.0,1.00:0,9.3,,,#DIV/0!,[],['Phosphatidylserine (O-34:0)']
46,46,,0.79,6.19,810.5259,7.13 - 8.23,1,340000.0,810.5259,8.44,676000.0,-,-,0.0,1.00:0,676000.0,0.0,1.00:0,8.44,,,#DIV/0!,['Phosphatidylserine (38:4)'],['Phosphatidylcholine (35:5)' 'Phosphatidylethanolamine (38:5)']
47,47,,0.77,6.3,834.5231,7.57 - 9.82,1,330000.0,834.5231,9.35,657000.0,-,-,0.0,1.00:0,657000.0,0.0,1.00:0,9.35,,,#DIV/0!,['Phosphatidylserine (40:6)'],['Phosphatidylethanolamine (40:7)']
48,48,,0.82,5.93,924.5916,8.48 - 10.08,1,320000.0,924.5916,9.52,646000.0,-,-,0.0,1.00:0,646000.0,0.0,1.00:0,9.52,,,#DIV/0!,[],['Phosphatidylserine (43:5)']
49,49,,0.83,5.83,835.5306,6.20 - 9.69,1,320000.0,835.5306,8.9,637000.0,-,-,0.0,1.00:0,637000.0,0.0,1.00:0,8.9,,,#DIV/0!,['Phosphatidylinositol (34:1)'],[]
50,50,,0.78,6.24,870.5433,6.74 - 8.06,1,310000.0,870.5433,7.63,618000.0,-,-,0.0,1.00:0,618000.0,0.0,1.00:0,7.63,,,#DIV/0!,[],['Phosphatidylserine (39:4)']
51,51,,0.84,5.74,788.542,8.77 - 9.27,1,300000.0,788.542,8.99,601000.0,-,-,0.0,1.00:0,601000.0,0.0,1.00:0,8.99,,,#DIV/0!,['Phosphatidylserine (36:1)'],['Phosphatidylcholine (33:2)' 'Phosphatidylethanolamine (36:2)']
52,52,,0.74,6.3,850.557,5.82 - 8.27,1,300000.0,850.557,7.31,596000.0,-,-,0.0,1.00:0,596000.0,0.0,1.00:0,7.31,,,#DIV/0!,['Phosphatidylserine (41:5)'],"['Phosphatidylcholine (38:6)' 'Phosphatidylethanolamine (41:6)'
 'Dihexosyl ceramide (d30:1)']"
53,53,,0.81,5.99,831.6578,10.88 - 11.83,1,290000.0,831.6578,11.37,572000.0,-,-,0.0,1.00:0,572000.0,0.0,1.00:0,11.37,,,#DIV/0!,['Triacylglycerol (51:8)'],['Phosphatidate (O-43:1)' 'Sphingomyelin (d40:1)']
54,54,,0.73,6.36,800.5425,5.73 - 7.43,1,280000.0,800.5425,6.8,552000.0,-,-,0.0,1.00:0,552000.0,0.0,1.00:0,6.8,,,#DIV/0!,['Phosphatidylserine (37:2)'],['Phosphatidylcholine (34:3)' 'Phosphatidylethanolamine (37:3)']
55,55,,0.77,6.3,736.5264,7.59 - 9.44,1,270000.0,736.5264,8.69,543000.0,-,-,0.0,1.00:0,543000.0,0.0,1.00:0,8.69,,,#DIV/0!,"['Lysophosphatidylcholine (34:5)' 'Phosphatidylcholine (O-34:5)'
 'Phosphatidylethanolamine (O-37:5)']",[]
56,56,,0.75,6.3,922.5751,7.84 - 9.56,1,270000.0,922.5751,8.52,531000.0,-,-,0.0,1.00:0,531000.0,0.0,1.00:0,8.52,,,#DIV/0!,[],['Phosphatidylserine (43:6)']
57,57,,0.75,6.3,752.5201,7.54 - 8.85,1,260000.0,752.5201,8.65,525000.0,-,-,0.0,1.00:0,525000.0,0.0,1.00:0,8.65,,,#DIV/0!,['Phosphatidylcholine (34:4)' 'Phosphatidylethanolamine (37:4)'],[]
58,58,,0.76,6.36,842.5878,7.57 - 9.35,1,260000.0,842.5878,8.77,523000.0,-,-,0.0,1.00:0,523000.0,0.0,1.00:0,8.77,,,#DIV/0!,['Phosphatidylserine (40:2)'],['Phosphatidylcholine (37:3)' 'Phosphatidylethanolamine (40:3)']
59,59,,0.78,6.3,686.5103,7.12 - 9.27,1,260000.0,686.5103,8.77,516000.0,-,-,0.0,1.00:0,516000.0,0.0,1.00:0,8.77,,,#DIV/0!,['Phosphatidylcholine (O-30:2)' 'Phosphatidylethanolamine (O-33:2)'],[]
60,60,,0.79,6.19,790.5585,6.93 - 8.23,1,250000.0,790.5585,7.93,502000.0,-,-,0.0,1.00:0,502000.0,0.0,1.00:0,7.93,,,#DIV/0!,['Phosphatidylserine (36:0)'],['Phosphatidylcholine (33:1)' 'Phosphatidylethanolamine (36:1)']
61,61,,0.74,6.36,872.5596,8.06 - 8.85,1,250000.0,872.5596,8.65,498000.0,-,-,0.0,1.00:0,498000.0,0.0,1.00:0,8.65,,,#DIV/0!,[],['Phosphatidylserine (39:3)']
62,62,,0.73,6.36,778.558,7.84 - 8.61,1,250000.0,778.558,8.39,497000.0,-,-,0.0,1.00:0,497000.0,0.0,1.00:0,8.39,,,#DIV/0!,[],['Phosphatidylcholine (32:0)' 'Phosphatidylethanolamine (35:0)']
63,63,,0.81,6.03,858.6191,9.93 - 10.88,1,240000.0,858.6191,10.34,480000.0,-,-,0.0,1.00:0,480000.0,0.0,1.00:0,10.34,,,#DIV/0!,['Phosphatidylserine (41:1)'],"['Phosphatidylcholine (38:2)' 'Phosphatidylethanolamine (41:2)'
 'Hexosyl ceramide (d43:7)']"
64,64,,0.78,6.3,863.5618,8.65 - 9.06,1,240000.0,863.5618,8.81,479000.0,-,-,0.0,1.00:0,479000.0,0.0,1.00:0,8.81,,,#DIV/0!,['Phosphatidylinositol (36:1)'],[]
65,65,,0.81,6.09,566.3447,0.18 - 2.47,1,240000.0,566.3447,2.25,477000.0,-,-,0.0,1.00:0,477000.0,0.0,1.00:0,2.25,,,#DIV/0!,['Lysophosphatidylserine (21:0)' 'Phosphatidylserine (O-21:0)'],"['Lysophosphatidylcholine (18:1)' 'Phosphatidylcholine (O-18:1)'
 'Phosphatidylethanolamine (O-21:1)' 'Hexosyl ceramide (t20:0)']"
66,66,,0.81,6.03,726.5416,8.69 - 10.60,1,240000.0,726.5416,9.52,475000.0,-,-,0.0,1.00:0,475000.0,0.0,1.00:0,9.52,,,#DIV/0!,['Phosphatidylcholine (O-33:3)' 'Phosphatidylethanolamine (O-36:3)'],[]
67,67,,0.66,7.34,746.5099,7.27 - 8.57,1,230000.0,746.5099,8.31,463000.0,-,-,0.0,1.00:0,463000.0,0.0,1.00:0,8.31,,,#DIV/0!,['Phosphatidylcholine (O-35:7)' 'Phosphatidylethanolamine (O-38:7)'],[]
68,68,,0.79,6.19,730.5361,8.44 - 10.08,1,230000.0,730.5361,9.79,461000.0,-,-,0.0,1.00:0,461000.0,0.0,1.00:0,9.79,,,#DIV/0!,"['Phosphatidylcholine (32:1)' 'Phosphatidylethanolamine (35:1)'
 'Hexosyl ceramide (d37:6)']",[]
69,69,,0.74,6.36,775.5935,7.59 - 8.61,1,220000.0,775.5935,8.4,438000.0,-,-,0.0,1.00:0,438000.0,0.0,1.00:0,8.4,,,#DIV/0!,[],"['Phosphatidate (O-39:1)' 'Sphingomyelin (d36:1)'
 'Ceramide phosphoethanolamine (d39:1)']"
70,70,,0.72,6.54,790.5359,8.14 - 9.35,1,220000.0,790.5359,9.06,433000.0,-,-,0.0,1.00:0,433000.0,0.0,1.00:0,9.06,,,#DIV/0!,['Phosphatidylcholine (37:6)' 'Phosphatidylethanolamine (40:6)'],['Ceramide phosphate (d44:7)']
71,71,,0.73,6.36,762.5045,6.36 - 7.93,1,210000.0,762.5045,7.67,428000.0,-,-,0.0,1.00:0,428000.0,0.0,1.00:0,7.67,,,#DIV/0!,['Phosphatidylcholine (35:6)' 'Phosphatidylethanolamine (38:6)'],['Ceramide phosphate (d42:7)']
72,72,,0.72,6.43,670.4789,6.20 - 7.67,1,210000.0,670.4789,7.32,428000.0,-,-,0.0,1.00:0,428000.0,0.0,1.00:0,7.32,,,#DIV/0!,['Phosphatidylcholine (O-29:3)' 'Phosphatidylethanolamine (O-32:3)'],[]
73,73,,0.7,6.47,840.5725,7.25 - 9.06,1,210000.0,840.5725,8.27,425000.0,-,-,0.0,1.00:0,425000.0,0.0,1.00:0,8.27,,,#DIV/0!,['Phosphatidylserine (40:3)'],['Phosphatidylcholine (37:4)' 'Phosphatidylethanolamine (40:4)']
74,74,,0.61,7.54,951.2313,5.18 - 8.61,1,210000.0,951.2313,6.27,417000.0,-,-,0.0,1.00:0,417000.0,0.0,1.00:0,6.27,,,#DIV/0!,[],['Phosphatidylinositol trisphosphate (22:2)']
75,75,,0.72,6.49,572.479,7.80 - 9.06,1,210000.0,572.479,8.85,415000.0,-,-,0.0,1.00:0,415000.0,0.0,1.00:0,8.85,,,#DIV/0!,[],[]
76,76,,0.72,6.49,696.4943,6.61 - 8.10,1,210000.0,696.4943,7.67,412000.0,-,-,0.0,1.00:0,412000.0,0.0,1.00:0,7.67,,,#DIV/0!,"['Lysophosphatidylethanolamine (34:4)' 'Phosphatidylcholine (O-31:4)'
 'Phosphatidylethanolamine (O-34:4)']",[]
77,77,,0.64,7.42,938.5317,6.73 - 7.97,1,200000.0,938.5317,7.63,408000.0,-,-,0.0,1.00:0,408000.0,0.0,1.00:0,7.63,,,#DIV/0!,[],[]
78,78,,0.71,6.65,728.5209,7.72 - 8.98,1,200000.0,728.5209,8.73,402000.0,-,-,0.0,1.00:0,402000.0,0.0,1.00:0,8.73,,,#DIV/0!,['Phosphatidylcholine (32:2)' 'Phosphatidylethanolamine (35:2)'],[]
79,79,,0.73,6.42,810.5233,8.73 - 9.93,1,200000.0,810.5233,9.48,400000.0,-,-,0.0,1.00:0,400000.0,0.0,1.00:0,9.48,,,#DIV/0!,['Phosphatidylserine (38:4)'],['Phosphatidylcholine (35:5)' 'Phosphatidylethanolamine (38:5)']
80,80,,0.7,6.51,734.5092,6.93 - 8.57,1,200000.0,734.5092,7.76,400000.0,-,-,0.0,1.00:0,400000.0,0.0,1.00:0,7.76,,,#DIV/0!,"['Lysophosphatidylcholine (34:6)' 'Phosphatidylcholine (O-34:6)'
 'Phosphatidylethanolamine (O-37:6)']",[]
81,81,,0.7,6.48,951.2307,8.18 - 8.57,1,200000.0,951.2307,8.35,396000.0,-,-,0.0,1.00:0,396000.0,0.0,1.00:0,8.35,,,#DIV/0!,[],['Phosphatidylinositol trisphosphate (22:2)']
82,82,,0.69,6.55,788.5423,6.03 - 9.40,1,190000.0,788.5423,6.96,385000.0,-,-,0.0,1.00:0,385000.0,0.0,1.00:0,6.96,,,#DIV/0!,['Phosphatidylserine (36:1)'],['Phosphatidylcholine (33:2)' 'Phosphatidylethanolamine (36:2)']
83,83,,0.63,8.04,1099.2676,9.15 - 11.21,1,190000.0,1099.2676,9.52,384000.0,-,-,0.0,1.00:0,384000.0,0.0,1.00:0,9.52,,,#DIV/0!,[],[]
84,84,,0.71,6.65,672.4944,6.54 - 8.65,1,180000.0,672.4944,8.31,369000.0,-,-,0.0,1.00:0,369000.0,0.0,1.00:0,8.31,,,#DIV/0!,['Phosphatidylcholine (O-29:2)' 'Phosphatidylethanolamine (O-32:2)'],[]
85,85,,0.7,6.42,596.5231,8.48 - 9.81,1,170000.0,596.5231,9.35,342000.0,-,-,0.0,1.00:0,342000.0,0.0,1.00:0,9.35,,,#DIV/0!,[],['Ceramide (d35:1)']
86,86,,0.73,6.42,810.5618,6.88 - 8.35,1,170000.0,810.5618,8.18,337000.0,-,-,0.0,1.00:0,337000.0,0.0,1.00:0,8.18,,,#DIV/0!,['Phosphatidylserine (O-39:4)'],"['Lysophosphatidylcholine (36:5)' 'Phosphatidylcholine (O-36:5)'
 'Phosphatidylethanolamine (O-39:5)']"
87,87,,0.7,6.54,928.5881,7.93 - 9.10,1,170000.0,928.5881,8.9,333000.0,-,-,0.0,1.00:0,333000.0,0.0,1.00:0,8.9,,,#DIV/0!,[],['Sulfohexosyl ceramide (d42:5)']
88,88,,0.7,6.42,896.5601,6.75 - 8.52,1,170000.0,896.5601,8.06,331000.0,-,-,0.0,1.00:0,331000.0,0.0,1.00:0,8.06,,,#DIV/0!,[],['Phosphatidylserine (41:5)']
89,89,,0.73,6.42,812.5392,9.93 - 10.79,1,160000.0,812.5392,10.48,326000.0,-,-,0.0,1.00:0,326000.0,0.0,1.00:0,10.48,,,#DIV/0!,['Phosphatidylserine (38:3)'],['Phosphatidylcholine (35:4)' 'Phosphatidylethanolamine (38:4)']
90,90,,0.82,5.93,950.6063,9.44 - 10.53,1,160000.0,950.6063,9.98,324000.0,-,-,0.0,1.00:0,324000.0,0.0,1.00:0,9.98,,,#DIV/0!,[],['Phosphatidylserine (45:6)']
91,91,,0.69,6.5,708.4948,6.57 - 8.10,1,160000.0,708.4948,7.63,310000.0,-,-,0.0,1.00:0,310000.0,0.0,1.00:0,7.63,,,#DIV/0!,"['Lysophosphatidylcholine (32:5)' 'Phosphatidylcholine (O-32:5)'
 'Phosphatidylethanolamine (O-35:5)']",[]
92,92,,0.77,6.24,966.5624,8.31 - 9.73,1,150000.0,966.5624,9.06,308000.0,-,-,0.0,1.00:0,308000.0,0.0,1.00:0,9.06,,,#DIV/0!,[],[]
93,93,,0.68,6.49,868.6036,8.01 - 9.83,1,150000.0,868.6036,9.23,306000.0,-,-,0.0,1.00:0,306000.0,0.0,1.00:0,9.23,,,#DIV/0!,['Phosphatidylserine (42:3)'],['Phosphatidylcholine (39:4)' 'Phosphatidylethanolamine (42:4)']
94,94,,0.68,6.9,778.573,9.69 - 11.50,1,150000.0,778.573,11.1,305000.0,-,-,0.0,1.00:0,305000.0,0.0,1.00:0,11.1,,,#DIV/0!,['Phosphatidylcholine (O-37:5)' 'Phosphatidylethanolamine (O-40:5)'],[]
95,95,,0.68,6.98,836.5771,7.38 - 8.85,1,150000.0,836.5771,8.31,305000.0,-,-,0.0,1.00:0,305000.0,0.0,1.00:0,8.31,,,#DIV/0!,['Phosphatidylserine (O-41:5)'],['Phosphatidylcholine (O-38:6)' 'Phosphatidylethanolamine (O-41:6)']
96,96,,0.71,6.58,709.5416,11.34 - 12.40,1,150000.0,709.5416,11.96,298000.0,-,-,0.0,1.00:0,298000.0,0.0,1.00:0,11.96,,,#DIV/0!,[],[]
