LTP	lipid	lipid chains	LTP volume	lipid volume	 lipid SMILES	interaction type	screen
BPI	PC(O-34:1)	Phosphatidylcholine (O-34:1)	2623	669.3600000000004	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COCCCCCCCCCCCCCCCCCC	new	in cellulo
BPI	PC(O-34:2)	Phosphatidylcholine (O-34:2)	2623	670.3600000000007	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCC	new	in cellulo
BPI	PC(O-36:2)	Phosphatidylcholine (O-36:2)	2623	697.6800000000005	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCC)=O)CO/C=C\CCCCCC/C=C\CCCCCCCC	new	in cellulo
BPI	PE(32:1)	Phosphatidylethanolamine (32:1) => (16:1/16:0)	2623	610.8500000000004	[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PE(34:1)	Phosphatidylethanolamine (34:1) => (18:1/16:0)	2623	638.1700000000004	[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PE(34:2)	Phosphatidylethanolamine (34:2) => (16:1/18:1)	2623	639.1700000000003	[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O	new	in cellulo
BPI	PE(36:2)	Phosphatidylethanolamine (36:2) => (18:1/18:1)	2623	666.4900000000005	[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C/CCCCCCCC)=O)COC(CCCCCCC/C=C/CCCCCCCC)=O	new	in cellulo
BPI	PE(38:4)	Phosphatidylethanolamine (38:4) => (18:0/20:4)	2623	695.8100000000007	[C@](COP(=O)(O)OCCN)([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PI(34:1)	Phosphatidylinositol (34:1) => (16:0/18:1)	2623	722.6600000000005	[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCC/C=C\CCCCCCCC)=O	new	in cellulo
BPI	PI(34:1)	Phosphatidylinositol (34:1) => (18:1/16:0)	2623	722.6600000000005	[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCC/C=C\CCCCCCCC)=O	new	in cellulo
BPI	PI(36:1)	Phosphatidylinositol (36:1) => (18:1/18:0)	2623	749.9800000000007	[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCC/C=C\CCCCCCCC)=O	new	in cellulo
BPI	PI(36:2)	Phosphatidylinositol (36:2) => (18:1/18:1)	2623	750.9800000000008	[C@]([H])(OC(CCCCCCCCCCC/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCCCC)=O	new	in cellulo
BPI	PI(38:4)	Phosphatidylinositol (38:4) => (18:0/20:4)	2623	780.3000000000013	[C@]([H])(OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPI	PS(34:1)	Phosphatidylserine (34:1) => (18:1/16:0)	2623	670.4100000000004	C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in cellulo
BPI	PS(34:1)	Phosphatidylserine (34:1) => (16:0/18:1)	2623	670.4100000000004	C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in cellulo
BPI	PS(36:1)	Phosphatidylserine (36:1) => (18:1/18:0)	2623	697.7300000000006	C(O)(=O)[C@@]([H])(N)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in cellulo
BPIFB2	BMP(36:2)	Bismonoacylglycerolphosphate (36:2) => (18:1/18:1)	2016	688.5500000000006	O(P(OC[C@](OC(CCCCCCC/C=C\CCCCCCCC)=O)([H])CO)(O)=O)C[C@@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO	new	in cellulo
BPIFB2	PC(17:1)	Phosphatidylcholine (17:1)	2016	446.92999999999967	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(C=C)=O)COC(CCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(30:0)	Phosphatidylcholine (30:0)	2016	623.5100000000001	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(30:1)	Phosphatidylcholine (30:1)	2016	624.5100000000007	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(31:1)	Phosphatidylcholine (31:1)	2016	638.1700000000002	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(32:1)	Phosphatidylcholine (32:1) => (18:1/14:0)	2016	651.8300000000003	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(32:2)	Phosphatidylcholine (32:2)	2016	652.8300000000004	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCC/C=C/CCCCCC)=O	new	in cellulo
BPIFB2	PC(33:1)	Phosphatidylcholine (33:1)	2016	665.4900000000001	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(34:1)	Phosphatidylcholine (34:1) => (18:1/16:0)	2016	679.1500000000002	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(34:2)	Phosphatidylcholine (34:2) => (18:1/16:1)	2016	680.1500000000005	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(/C=C\CCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(34:3)	Phosphatidylcholine (34:3)	2016	681.1500000000009	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(35:1)	Phosphatidylcholine (35:1)	2016	692.810000000001	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCCCCCC)=O)COC(CCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(35:2)	Phosphatidylcholine (35:2)	2016	693.8100000000004	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O	new	in cellulo
BPIFB2	PC(36:1)	Phosphatidylcholine (36:1)	2016	706.4700000000006	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(36:2)	Phosphatidylcholine (36:2)	2016	707.4700000000003	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCC/C=C\C=C/CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(36:3)	Phosphatidylcholine (36:3)	2016	708.4700000000005	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCCCCCCCCCCCC)=O	new	in cellulo
BPIFB2	PC(O-30:0)/LPC(30:0)	"Lysophosphatidylcholine (30:0); Phosphatidylcholine (O-30:0)"	2016	613.7200000000001	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCC)=O)COCCCCCCCCCCCCCCC	new	in cellulo
BPIFB2	PC(O-32:0)	Phosphatidylcholine (O-32:0)	2016	641.0400000000003	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)COCCCCCCCCCCCCCCCCCC	new	in cellulo
BPIFB2	PC(O-32:1)	Phosphatidylcholine (O-32:1)	2016	642.0400000000004	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COCCCCCCCCCCCCCCCC	new	in cellulo
BPIFB2	PC(O-32:2)	Phosphatidylcholine (O-32:2)	2016	643.0400000000003	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCC)=O)CO/C=C\CCCCCCCC/C=C\CCCCCC	new	in cellulo
BPIFB2	PC(O-34:1)	Phosphatidylcholine (O-34:1)	2016	669.3600000000008	[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)(COP(=O)([O-])OCC[N+](C)(C)C)COCCCCCCCCCCCCCCCC	new	in cellulo
BPIFB2	PC(O-34:2)	Phosphatidylcholine (O-34:2)	2016	670.3600000000007	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO/C=C\CCCCCCCCCCCCCC	new	in cellulo
BPIFB2	PC(O-36:2)	Phosphatidylcholine (O-36:2)	2016	697.6800000000005	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCCCC)=O)CO/C=C\CCCCCC/C=C\CCCCCCCC	new	in cellulo
BPIFB2	PG/BMP(36:2)	"Phosphatidylglycerol (36:2); Bismonoacylglycerolphosphate (36:2) => (18:1/18:1)"	2016	688.5500000000006	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in cellulo
CERT	Cer(d*32:1)	Ceramide (d*32:1)	2707	479.5899999999996	OC[C@]([H])(NC(=O)CCCCCCCCCCCCC)[C@]([H])(O)/C=C/CCCCCCCCCCCCC	known	in cellulo
CERT	Cer(d*33:1)	Ceramide (d*33:1)	2707	493.24999999999966	[C@](CO)([H])(NC(CCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC	known	in cellulo
CERT	Cer(d*34:1)	Ceramide (d*34:1)	2707	506.90999999999974	[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC	known	in cellulo
CERT	Cer(d*34:2)	Ceramide (d*34:2)	2707	507.90999999999974	[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC	known	in cellulo
CERT	Cer(d32:1)	Ceramide (d32:1) => (d18:1/14:0)	2707	479.5899999999996	OC[C@]([H])(NC(=O)CCCCCCCCCCCCC)[C@]([H])(O)/C=C/CCCCCCCCCCCCC	known	in cellulo
CERT	Cer(d33:1)	Ceramide (d33:1) => (d17:1/16:0)	2707	493.24999999999966	[C@](CO)([H])(NC(CCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC	known	in cellulo
CERT	Cer(d34:1)	Ceramide (d34:1) => (d18:1/16:0)	2707	506.90999999999974	[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCCCC	known	in cellulo
CERT	Cer(d34:2)	Ceramide (d34:2) => (d18:2/16:0)	2707	507.90999999999974	[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC	known	in cellulo
CERT	Cer(d36:1)	Ceramide (d36:1) => (d18:1/18:0)	2707	534.2299999999998	[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCCCCC	known	in cellulo
CERT	Cer(DH46:0-OH)/Cer(t46:0)	"Ceramide (t46:0); Ceramide (DH46:0-OH)"	2707	651.3000000000004	[C@](CO)([H])(NC(C(O)CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCCCC	known	in cellulo
CERT	Cer(DH46:0)	Ceramide (DH46:0) => (DH22:0/24:0)	2707	651.3000000000004	[C@](CO)([H])(NC(C(O)CCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCCCC	known	in cellulo
CERT	Cer(DH48:0-OH)/Cer(t48:0)	"Ceramide (t48:0); Ceramide (DH48:0-OH)"	2707	669.8300000000007	[C@](CO)([H])(NC(CCCCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCCCC	known	in cellulo
CERT	Cer(DH48:0)	Ceramide (DH48:0) => (DH24:0/24:0)	2707	678.6200000000006	[C@](CO)([H])(NC(C(O)CCCCCCCCCCCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCCCC	known	in cellulo
CERT	Cer(t48:0)	Ceramide (t48:0) => (t22:0/26:0)	2707	705.9400000000009	OC[C@]([H])(NC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCC)[C@]([H])(O)[C@H](O)CCCCCCCCCCCCCC	known	in cellulo
CERT	PC(32:1)	Phosphatidylcholine (32:1)	2707	651.8300000000003	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCC)=O	new	in cellulo
CERT	PC(34:1)	Phosphatidylcholine (34:1)	2707	679.1500000000002	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCC/C=C/CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O	new	in cellulo
CERT	TAG(46:3)	Triacylglycerol (46:3) => (16:1/16:1/14:1)	2707	733.0000000000008	C(OC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O	new	in cellulo
CERT	TAG(47:2)	Triacylglycerol (47:2) => (16:1/16:1/15:0)	2707	745.660000000001	C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O	new	in cellulo
CERT	TAG(48:3)	Triacylglycerol (48:3) => (16:1/16:1/16:1)	2707	760.3200000000007	C(OC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O	new	in cellulo
CERT	TAG(50:2)	Triacylglycerol (50:2)	2707	786.6400000000012	C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O	new	in cellulo
CERT	TAG(53:2)	Triacylglycerol (53:2)	2707	827.6200000000015	C(OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCC)=O	new	in cellulo
CRABP2	FA(17:1)	heptadecenoate => (17:1)	1435	256.7199999999999	C(CCCCCCCC/C=C/CCCCCC)(=O)O	new	in vitro
FABP1	FA(16:1)	hexadecenoate => (16:1)	1715	243.05999999999995	C(=C/CCCCCCCC)/CCCCCC(=O)O	known	in vitro
FABP1	FA(17:1)	heptadecenoate => (17:1)	1715	256.7199999999999	C(CCCCCCCC/C=C/CCCCCC)(=O)O	known	in vitro
FABP1	FA(18:1)	octadecenoate => (18:1)	1715	270.3799999999999	C(CCCCCCCCCCC/C=C/CCCC)(=O)O	known	in vitro
FABP1	FA(18:2)	octadecadienoate => (18:2)	1715	271.37999999999994	C(CCCC/C=C/CCCC/C=C/CCCCC)(=O)O	known	in vitro
FABP1	FA(19:1)	nonadecenoate => (19:1)	1715	284.03999999999985	C(CCCCCCCC/C=C/CCCCCCCC)(=O)O	known	in vitro
FABP1	FA(20:3)	eicosatrienoate => (20:3)	1715	299.6999999999997	C(CCCCC/C=C/C/C=C/C/C=C/CCCCCC)(=O)O	known	in vitro
FABP1	FA(20:4)	eicosatetraenoate => (20:4)	1715	300.6999999999998	C(O)(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	known	in vitro
FABP1	FA(22:5)	docosapentaenoate => (22:5)	1715	329.0199999999997	C(CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)(=O)O	known	in vitro
FABP1	LPE(16:0)	Lysophosphatidylethanolamine (16:0) => (16:0)	1715	381.49999999999966	[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCCCCCCCCCC)=O	new	in vitro
FABP1	LPE(16:1)	Lysophosphatidylethanolamine (16:1) => (16:1)	1715	382.4999999999996	C(OP(OCCN)(O)=O)[C@]([H])(OC(=O)CCCCCCC/C=C\CCCCCC)CO	new	in vitro
FABP1	LPE(17:1)	Lysophosphatidylethanolamine (17:1) => (17:1)	1715	396.15999999999957	[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCC/C=C\CCCCCCC)=O	new	in vitro
FABP1	LPE(18:1)	Lysophosphatidylethanolamine (18:1) => (18:1)	1715	409.81999999999954	C(OP(OCCN)(O)=O)[C@]([H])(OC(=O)CCCCCCC/C=C\CCCCCCCC)CO	new	in vitro
FABP1	LPG(16:1)	Lysophosphatidylglycerol (16:1) => (16:1)	1715	404.55999999999955	[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O	new	in vitro
FABP1	LPG(18:1)	Lysophosphatidylglycerol (18:1)	1715	431.8799999999994	[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in vitro
FABP1	PC(O-18:1)/LPC(18:1)	"Lysophosphatidylcholine (18:1);Phosphatidylcholine (O-18:1)"	1715	441.00999999999954	[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COCCCCCCCC/C=C\CCCCCCCC	new	in vitro
FABP1	PE(30:1)	Phosphatidylethanolamine (30:1) => (14:0/16:1)	1715	583.5300000000002	[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCC)=O	new	in vitro
FABP1	PE(32:2)	Phosphatidylethanolamine (32:2) => (16:1/16:1)	1715	611.8500000000001	[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O	new	in vitro
FABP1	PE(33:2)	Phosphatidylethanolamine (33:2) => (17:1/16:1)	1715	625.5100000000002	[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O	new	in vitro
FABP1	PG(32:1)	Phosphatidylglycerol (32:1) => (16:1/16:0)	1715	632.9100000000003	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(33:1)	Phosphatidylglycerol (33:1) => (16:0/17:1)	1715	646.5700000000003	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(33:1)	Phosphatidylglycerol (33:1) => (17:1/16:0)	1715	646.5700000000003	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(34:1)	Phosphatidylglycerol (34:1) => (18:1/16:0)	1715	660.2300000000006	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(34:2)	Phosphatidylglycerol (34:2) => (18:1/16:1)	1715	661.2300000000005	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(34:2)	Phosphatidylglycerol (34:2) => (16:1/18:1)	1715	661.2300000000005	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(35:2)	Phosphatidylglycerol (35:2) => (18:1/17:1)	1715	674.8900000000006	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(35:2)	Phosphatidylglycerol (35:2) => (17:1/18:1)	1715	674.8900000000006	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in vitro
FABP1	PG(36:2)	Phosphatidylglycerol (36:2) => (18:1/18:1)	1715	688.5500000000006	[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O	new	in vitro
FABP5	FA(16:1)	hexadecenoate => (16:1)	1506	243.05999999999995	C(=C/CCCCCCCC)/CCCCCC(=O)O	known	in vitro
FABP5	FA(17:1)	heptadecenoate => (17:1)	1506	256.7199999999999	C(CCCCCCCC/C=C/CCCCCC)(=O)O	known	in vitro
