"LTPProtein	ProteinDomain	FullIdentityOfLipid	Lipid	Screen	Intensity	Adduct	TotalCarbonChainLength	TotalCarbonChainUnsaturations	IonMode	mz	MeanOfRetentionTime	MinimumOfRetentionTime	MaximumOfRetentionTime	LipidAmbiguity	LikelySubclass";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-32:1)	PC(O-32:1)	in cellulo	690000	[M+H]+	32	1	pos	718.5694	10.36	9.87	11.19	PC-O	PC-O";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (32:2)	PC(32:2)	in cellulo	610000	[M+H]+	32	2	pos	730.5346	8.48	8.02	9.08	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (30:1)	PC(30:1)	in cellulo	490000	[M+H]+	30	1	pos	704.5175	8.18	7.8	8.69	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (36:3)	PC(36:3)	in cellulo	320000	[M+H]+	36	3	pos	784.5816	9.84	9.49	10.71	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (33:1)	PC(33:1)	in cellulo	300000	[M+H]+	33	1	pos	746.5627	9.95	9.31	10.65	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+NH4]+: Bismonoacylglycerolphosphate (36:2) => (18:1/18:1)	BMP(36:2)	in cellulo	300000	[M+NH4]+	36	2	pos	792.57	9.75	8.46	10	BMP	BMP";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-36:2)	PC(O-36:2)	in cellulo	210000	[M+H]+	36	2	pos	772.6164	11.66	11.4	12.82	PC-O	PC-O";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-34:2)	PC(O-34:2)	in cellulo	200000	[M+H]+	34	2	pos	744.5848	10.47	10.03	11.09	PC-O	PC-O";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (36:1)	PC(36:1)	in cellulo	250000	[M+H]+	36	1	pos	788.6106	12.01	11.63	12.52	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (35:2)	PC(35:2)	in cellulo	190000	[M+H]+	35	2	pos	772.5836	10.33	9.56	11.2	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-34:2)	PC(O-34:2)	in cellulo	160000	[M+H]+	34	2	pos	744.5852	11.31	11.02	11.73	PC-O	PC-O";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (34:3)	PC(34:3)	in cellulo	160000	[M+H]+	34	3	pos	756.5477	8.82	8.28	9.49	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+Na]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	150000	[M+Na]+	34	1	pos	782.5596	10.61	10.37	10.96	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (35:1)	PC(35:1)	in cellulo	140000	[M+H]+	35	1	pos	774.5956	11.03	10.71	11.6	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (30:0)	PC(30:0)	in cellulo	120000	[M+H]+	30	0	pos	706.5333	9.07	8.76	9.42	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (31:1)	PC(31:1)	in cellulo	110000	[M+H]+	31	1	pos	718.5345	8.68	8.28	9.21	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-32:0)	PC(O-32:0)	in cellulo	100000	[M+H]+	32	0	pos	720.5847	11.31	11.02	11.77	PC-O	PC-O";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (O-32:2)	PC(O-32:2)	in cellulo	96000	[M+H]+	32	2	pos	716.5536	10.2	8.9	10.89	PC-O	PC-O";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Phosphatidylcholine (17:1)	PC(17:1)	in cellulo	95000	[M+H]+	17	1	pos	522.3224	2.26	1.18	2.61	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+Na]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	68000	[M+Na]+	32	1	pos	754.53	9.33	9.03	9.78	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+H]+: Lysophosphatidylcholine (30:0)";" Phosphatidylcholine (O-30:0)	PC(O-30:0)/LPC(30:0)	in cellulo	56000	[M+H]+	30	0	pos	692.5547	9.9	9.61	10.25	PC-O";" Lyso-PC	PC-O";;
"BPIFB2	LBP_BPI_CETP	[M-H]-: Phosphatidylglycerol (36:2)";" Bismonoacylglycerolphosphate (36:2) => (18:1/18:1)	PG/BMP(36:2)	in cellulo	150000	[M-H]-	36	2	neg	773.5258	9.43	8.63	9.94	BMP";" PG	PG/BMP";;
"BPIFB2	LBP_BPI_CETP	[M+HCOO]-: Phosphatidylcholine (34:1) => (18:1/16:0)	PC(34:1)	in cellulo	140000	[M+HCOO]-	34	1	neg	804.5663	10.63	10.36	10.95	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+HCOO]-: Phosphatidylcholine (32:1) => (18:1/14:0)	PC(32:1)	in cellulo	77000	[M+HCOO]-	32	1	neg	776.5364	9.3	9.02	9.73	PC	PC";;;;
"BPIFB2	LBP_BPI_CETP	[M+HCOO]-: Phosphatidylcholine (34:2) => (18:1/16:1)	PC(34:2)	in cellulo	50000	[M+HCOO]-	34	2	neg	802.5518	9.56	9.22	9.94	PC	PC";;;;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*42:2)	HexCer(t*42:2)	in cellulo	1900000	[M+H]+	42	2	pos	826.6733	14	13.47	14.21	Hex-DHCer-OH"; Hex-tCer; Hex-dCer-OH;" Hex-dCer-OH	t*HexCer";
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*42:1)	HexCer(t*42:1)	in cellulo	1300000	[M+H]+	42	1	pos	828.6896	15.04	14.85	15.26	Hex-dCer-OH"; Hex-dCer-OH; Hex-tCer;" Hex-DHCer-OH	t*HexCer";
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*42:2)	HexCer(d*42:2)	in cellulo	1100000	[M+H]+	42	2	pos	810.6784	14.1	13.63	14.64	Hex-dCer"; Hex-dCer;" Hex-DHCer	d*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*40:2)	HexCer(t*40:2)	in cellulo	1000000	[M+H]+	40	2	pos	798.6398	12.57	12.06	13.19	Hex-dCer-OH"; Hex-tCer; Hex-dCer-OH;" Hex-DHCer-OH	t*HexCer";
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*40:1)	HexCer(t*40:1)	in cellulo	800000	[M+H]+	40	1	pos	800.6551	13.61	13.11	13.92	Hex-tCer"; Hex-DHCer-OH; Hex-dCer-OH;" Hex-dCer-OH	t*HexCer";
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*34:1)	HexCer(d*34:1)	in cellulo	740000	[M+H]+	34	1	pos	700.5683	9.84	9.39	10.06	Hex-dCer"; Hex-DHCer;" Hex-dCer	d*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*42:1)	HexCer(d*42:1)	in cellulo	650000	[M+H]+	42	1	pos	812.6936	15.51	15.26	15.71	Hex-dCer"; Hex-dCer;" Hex-DHCer	d*HexCer";;
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (t*42:2)	HexCer(t*42:2)	in cellulo	610000	[M+Na]+	42	2	pos	848.654	13.98	13.47	14.21	Hex-DHCer-OH"; Hex-tCer;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*40:1)	HexCer(d*40:1)	in cellulo	540000	[M+H]+	40	1	pos	784.6611	14.16	13.9	14.61	Hex-dCer"; Hex-DHCer;" Hex-dCer	d*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*34:1)	HexCer(t*34:1)	in cellulo	480000	[M+H]+	34	1	pos	716.5645	9.41	9.07	9.59	Hex-DHCer-OH"; Hex-dCer-OH; Hex-dCer-OH;" Hex-tCer	t*HexCer";
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (t*42:1)	HexCer(t*42:1)	in cellulo	460000	[M+Na]+	42	1	pos	850.669	15.04	14.85	15.26	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (d*42:2)	HexCer(d*42:2)	in cellulo	380000	[M+Na]+	42	2	pos	832.6606	14.11	13.88	14.6	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (d*42:1)	HexCer(d*42:1)	in cellulo	290000	[M+Na]+	42	1	pos	834.6757	15.5	15.3	15.67	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*42:3)	HexCer(t*42:3)	in cellulo	280000	[M+H]+	42	3	pos	824.6577	12.53	12.3	12.99	Hex-dCer-OH"; Hex-tCer; Hex-dCer-OH;" Hex-DHCer-OH	t*HexCer";
"GLTP	GLTP	 [M+Na]+: Hexosyl ceramide (t*40:2)	HexCer(t*40:2)	in cellulo	280000	[M+Na]+	40	2	pos	820.6242	12.56	12.3	12.76	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*42:3)	HexCer(d*42:3)	in cellulo	280000	[M+H]+	42	3	pos	808.6624	12.96	12.22	13.98	Hex-dCer"; Hex-dCer;" Hex-DHCer	d*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*36:1)	HexCer(d*36:1)	in cellulo	260000	[M+H]+	36	1	pos	728.6007	11.28	10.94	11.45	Hex-dCer"; Hex-dCer;" Hex-DHCer	d*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*41:2)	HexCer(t*41:2)	in cellulo	260000	[M+H]+	41	2	pos	812.6576	13.27	12.84	13.51	Hex-DHCer-OH"; Hex-dCer-OH; Hex-dCer-OH;" Hex-tCer	t*HexCer";
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (d*34:1)	HexCer(d*34:1)	in cellulo	240000	[M+Na]+	34	1	pos	722.5507	9.84	9.5	10.05	Hex-DHCer";" Hex-dCer	d*HexCer";;;
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (t*40:1)	HexCer(t*40:1)	in cellulo	240000	[M+Na]+	40	1	pos	822.6393	13.68	13.42	13.9	Hex-tCer"; Hex-DHCer-OH;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*34:2)	HexCer(t*34:2)	in cellulo	230000	[M+H]+	34	2	pos	714.5481	8.4	8	8.67	Hex-DHCer-OH"; Hex-dCer-OH; Hex-tCer;" Hex-dCer-OH	t*HexCer";
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*41:1)	HexCer(t*41:1)	in cellulo	220000	[M+H]+	41	1	pos	814.6734	14.37	14.13	14.56	Hex-tCer"; Hex-dCer-OH; Hex-dCer-OH;" Hex-DHCer-OH	t*HexCer";
"GLTP	GLTP	[M+H]+: Dihexosyl ceramide (t*42:2)	Hex2Cer(t*42:2)	in cellulo	200000	[M+H]+	42	2	pos	988.7286	13.35	12.84	13.57	Hex2-tCer"; Hex2-dCer-OH; Hex2-dCer-OH;" Hex2-DHCer-OH	t*Hex2Cer";
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (t*34:1)	HexCer(t*34:1)	in cellulo	110000	[M+Na]+	34	1	pos	738.5455	9.44	9.07	9.59	Hex-DHCer-OH"; Hex-dCer-OH;" Hex-tCer	t*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*36:2)	HexCer(d*36:2)	in cellulo	110000	[M+H]+	36	2	pos	726.5845	10.09	9.79	10.85	Hex-DHCer"; Hex-dCer;" Hex-dCer	d*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (d*42:3)	HexCer(d*42:3)	in cellulo	100000	[M+H]+	42	3	pos	808.6611	14.22	13.76	14.55	Hex-dCer"; Hex-dCer;" Hex-DHCer	d*HexCer";;
"GLTP	GLTP	[M+H]+: Hexosyl ceramide (t*36:2)	HexCer(t*36:2)	in cellulo	85000	[M+H]+	36	2	pos	742.5797	9.69	9.37	10.09	Hex-dCer-OH"; Hex-tCer; Hex-dCer-OH;" Hex-DHCer-OH	t*HexCer";
"GLTP	GLTP	[M+Na]+: Hexosyl ceramide (d*36:1)	HexCer(d*36:1)	in cellulo	78000	[M+Na]+	36	1	pos	750.5803	11.28	10.98	11.42	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*42:2)	HexCer(t*42:2)	in cellulo	780000	[M+HCOO]-	42	2	neg	870.6591	13.96	13.49	14.18	Hex-DHCer-OH"; Hex-tCer;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*42:1)	HexCer(t*42:1)	in cellulo	530000	[M+HCOO]-	42	1	neg	872.6748	15.01	14.82	15.22	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*40:2)	HexCer(t*40:2)	in cellulo	410000	[M+HCOO]-	40	2	neg	842.6281	12.54	12.29	12.75	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*42:2)	HexCer(d*42:2)	in cellulo	320000	[M+HCOO]-	42	2	neg	854.6645	14.08	13.88	14.6	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*34:1)	HexCer(d*34:1)	in cellulo	280000	[M+HCOO]-	34	1	neg	744.5553	9.83	9.52	10.04	Hex-DHCer";" Hex-dCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*34:1)	HexCer(t*34:1)	in cellulo	220000	[M+HCOO]-	34	1	neg	760.5502	9.41	9.1	9.61	Hex-DHCer-OH"; Hex-dCer-OH;" Hex-tCer	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*42:1)	HexCer(d*42:1)	in cellulo	220000	[M+HCOO]-	42	1	neg	856.6801	15.46	15.3	15.68	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (t*42:2)	HexCer(t*42:2)	in cellulo	210000	[M+HCOO+1x(HCOONa)]-	42	2	neg	938.6456	13.96	13.5	14.18	Hex-DHCer-OH"; Hex-tCer;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*40:1)	HexCer(d*40:1)	in cellulo	200000	[M+HCOO]-	40	1	neg	828.649	14.12	13.92	14.35	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (t*42:1)	HexCer(t*42:1)	in cellulo	160000	[M+HCOO+1x(HCOONa)]-	42	1	neg	940.6612	15.01	14.84	15.22	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*40:2)	HexCer(d*40:2)	in cellulo	110000	[M+HCOO]-	40	2	neg	826.6337	13	12.54	13.29	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*42:3)	HexCer(t*42:3)	in cellulo	100000	[M+HCOO]-	42	3	neg	868.6435	12.51	12.29	13	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (t*40:2)	HexCer(t*40:2)	in cellulo	100000	[M+HCOO+1x(HCOONa)]-	40	2	neg	910.6147	12.52	12.29	12.75	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (t*40:1)	HexCer(t*40:1)	in cellulo	90000	[M+HCOO+1x(HCOONa)]-	40	1	neg	912.631	13.66	13.46	13.88	Hex-tCer"; Hex-DHCer-OH;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*36:1)	HexCer(d*36:1)	in cellulo	87000	[M+HCOO]-	36	1	neg	772.5868	11.25	11	11.46	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*41:1)	HexCer(t*41:1)	in cellulo	84000	[M+HCOO]-	41	1	neg	858.6589	14.35	14.14	14.55	Hex-tCer"; Hex-dCer-OH;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*34:2)	HexCer(t*34:2)	in cellulo	83000	[M+HCOO]-	34	2	neg	758.5352	8.4	8.01	8.64	Hex-DHCer-OH"; Hex-dCer-OH;" Hex-tCer	t*HexCer";;
"GLTP	GLTP	[M+HCOO+2x(HCOONa)]-: Hexosyl ceramide (t*42:2)	HexCer(t*42:2)	in cellulo	83000	[M+HCOO+2x(HCOONa)]-	42	2	neg	1006.6314	13.96	13.5	14.18	Hex-DHCer-OH"; Hex-tCer;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (d*34:1)	HexCer(d*34:1)	in cellulo	63000	[M+HCOO+1x(HCOONa)]-	34	1	neg	812.5428	9.85	9.52	9.99	Hex-DHCer";" Hex-dCer	d*HexCer";;;
